,SITE_ID,COUNTRY,LATITUDE,LONGITUDE,POINT_INFO,FARM_TYPE,COAST_DIST,POSITION_COASTLINE,STATUS,PRODUCTION_METHOD,PRODUCTS_DETAIL,PRODUCTION_STAGE,PURPOSE,OWNER_NAME
118,EL_0194,Greece,38.89878055600008,22.94782222200007,Original,n.a.,190.5475,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,NIREUS AQUACULTURES S.A.
119,EL_0195,Greece,38.35777777800007,21.04527777800007,Original,n.a.,348.2343,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,NIREUS AQUACULTURES S.A.
120,EL_0196,Greece,38.89188055600005,22.936222222000026,Original,n.a.,216.9403,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,NIREUS AQUACULTURES S.A.
121,EL_0197,Greece,38.88707500000004,22.91624444400003,Original,n.a.,119.2425,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,NIREUS AQUACULTURES S.A.
122,EL_0198,Greece,39.65625000000006,20.08916666700003,Original,n.a.,231.4857,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,NIREUS AQUACULTURES S.A.
123,EL_0199,Greece,38.692677778000075,23.408619444000067,Original,n.a.,124.4409,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,NIREUS AQUACULTURES S.A.
124,EL_0200,Greece,38.903277778000074,22.962575000000072,Original,n.a.,188.5277,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,NIREUS AQUACULTURES S.A.
125,EL_0201,Greece,37.350833333000026,23.07111111100005,Original,n.a.,167.6001,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,NIREUS AQUACULTURES S.A.
126,EL_0202,Greece,39.533891667000034,20.180800000000033,Original,n.a.,543.94,Within the coastline,n.a.,Saltwater tanks/raceways,Mediterranean marine fish,Nursery,n.a.,NIREUS AQUACULTURES S.A.
127,EL_0203,Greece,38.490000000000066,21.086111111000037,Original,n.a.,247.3202,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,NIREUS AQUACULTURES S.A.
128,EL_0204,Greece,38.55888888900006,23.609722222000073,Original,n.a.,64.725,Within the coastline,n.a.,Saltwater tanks/raceways,Mediterranean marine fish,"Hatchery, Nursery, Broodstock",n.a.,NIREUS AQUACULTURES S.A.
129,EL_0205,Greece,37.46388888900003,23.009166667000045,Original,n.a.,129.7521,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,NIREUS AQUACULTURES S.A.
130,EL_0206,Greece,38.48277777800007,21.076388889000043,Original,n.a.,136.5511,At sea,n.a.,Sea cages,Mediterranean marine fish,Grow out for human consumption,n.a.,NIREUS AQUACULTURES S.A.
